model_a,model_b,mean_delta_MAE_a_minus_b,median_delta_MAE_a_minus_b,wilcoxon_statistic,p_raw,rank_biserial_positive_means_a_worse,p_holm,reject_holm_0_05
SVR,LSTM,-2.5152978590310444,-2.5569457756623506,0.0,1.862645149230957e-09,-1.0,3.91155481338501e-08,True
SVR,SimpleRNN,-2.6839146744692197,-2.6780463022929566,0.0,1.862645149230957e-09,-1.0,3.91155481338501e-08,True
SVR,CNN1D,-2.3772869185711016,-2.2568892701797703,0.0,1.862645149230957e-09,-1.0,3.91155481338501e-08,True
SVR,BiLSTM,-2.3638665948182567,-2.3707792702735597,0.0,1.862645149230957e-09,-1.0,3.91155481338501e-08,True
PLSR,SimpleRNN,-2.611244258407031,-2.618138233217632,0.0,1.862645149230957e-09,-1.0,3.91155481338501e-08,True
PLSR,CNN1D,-2.304616502508914,-2.1083616156202964,0.0,1.862645149230957e-09,-1.0,3.91155481338501e-08,True
PLSR,BiLSTM,-2.291196178756069,-2.2639820654924376,0.0,1.862645149230957e-09,-1.0,3.91155481338501e-08,True
PLSR,LSTM,-2.4426274429688566,-2.470280834597672,0.0,1.862645149230957e-09,-1.0,3.91155481338501e-08,True
ANN,LSTM,-2.4209855643938285,-2.52874042274374,0.0,1.862645149230957e-09,-1.0,3.91155481338501e-08,True
ANN,BiLSTM,-2.269554300181041,-2.1853764478230113,0.0,1.862645149230957e-09,-1.0,3.91155481338501e-08,True
ANN,CNN1D,-2.282974623933886,-2.128155414579493,0.0,1.862645149230957e-09,-1.0,3.91155481338501e-08,True
ANN,SimpleRNN,-2.589602379832003,-2.7211765380519806,0.0,1.862645149230957e-09,-1.0,3.91155481338501e-08,True
SimpleRNN,BiLSTM,0.320048079650962,0.34988091321605674,112.0,0.012047622352838516,0.5182795698924731,0.10842860117554665,False
SimpleRNN,LSTM,0.16861681543817433,0.245329897512089,136.0,0.047259049490094185,0.4150537634408602,0.3780723959207535,False
SimpleRNN,CNN1D,0.306627755898117,0.4019499628832848,147.0,0.0803273618221283,0.36774193548387096,0.5622915327548981,False
SVR,ANN,-0.09431229463721583,-0.15256877274234393,181.0,0.2988441474735737,-0.221505376344086,1.0,False
LSTM,BiLSTM,0.15143126421278766,0.11415089915196086,193.0,0.42795460671186447,0.16989247311827957,1.0,False
SVR,PLSR,-0.07267041606218774,-0.01694554897719558,197.0,0.4771064817905426,-0.15268817204301074,1.0,False
LSTM,CNN1D,0.13801094045994275,0.2063148515016744,198.0,0.4898460879921913,0.14838709677419354,1.0,False
BiLSTM,CNN1D,-0.01342032375284495,0.014946534778133236,218.0,0.7765688337385654,0.06236559139784946,1.0,False
PLSR,ANN,-0.021641878575028084,0.005452342066775584,224.0,0.871207794174552,-0.03655913978494624,1.0,False
