model,storage_phase,MAE_days,bias_days,within_3d_pct,n
SVR,Early (0-7),1.9823804183001115,0.9047925915223037,78.33333333333333,240
SVR,Middle (8-14),2.1709933118349998,0.622851098008636,72.85714285714285,210
SVR,Late (15-21),2.460830518094934,-1.192097502720449,67.14285714285714,210
PLSR,Early (0-7),2.0409865691498843,0.836353774998181,75.0,240
PLSR,Middle (8-14),2.196916846901783,0.5480504992073209,73.33333333333333,210
PLSR,Late (15-21),2.596321261109572,-1.4844359574890464,63.8095238095238,210
ANN,Early (0-7),1.5608457003616623,0.7817831332898801,85.41666666666666,240
ANN,Middle (8-14),2.5318995612008233,0.36181417798239085,64.28571428571429,210
ANN,Late (15-21),2.878088300947159,-1.7540630166492766,59.04761904761905,210
CNN1D,Early (0-7),4.936567043119834,4.420678144672679,37.083333333333336,240
CNN1D,Middle (8-14),3.123670123115418,0.1905171401916988,59.523809523809526,210
CNN1D,Late (15-21),5.603413593958295,-5.172096570332845,24.285714285714285,210
CNN1D_FLAT,Early (0-7),1.720058786053611,0.9595367781313889,83.33333333333334,240
CNN1D_FLAT,Middle (8-14),2.616764793174603,0.14210470015873014,64.76190476190476,210
CNN1D_FLAT,Late (15-21),3.176725731111111,-2.368144786666667,54.285714285714285,210
CNN1D_GAP_POS,Early (0-7),5.856183175416666,5.698132467083334,22.916666666666664,240
CNN1D_GAP_POS,Middle (8-14),2.983739038888889,0.8127514658730157,55.23809523809524,210
CNN1D_GAP_POS,Late (15-21),5.303557493333334,-5.141249907619048,26.666666666666668,210
BiLSTM,Early (0-7),4.648115384568357,4.446059138876283,30.416666666666664,240
BiLSTM,Middle (8-14),2.880764237850431,-0.40751006130188233,60.952380952380956,210
BiLSTM,Late (15-21),6.133800357201742,-6.018213849313675,20.476190476190474,210
LSTM,Early (0-7),5.306130857600107,5.261037627855937,20.0,240
LSTM,Middle (8-14),2.4024728305756105,-0.39127681066119485,66.19047619047619,210
LSTM,Late (15-21),6.336000911394756,-6.328336899999589,12.380952380952381,210
SimpleRNN,Early (0-7),5.9227906141844056,5.876214271535476,14.166666666666666,240
SimpleRNN,Middle (8-14),2.2833725690841673,0.11131130513690773,71.42857142857143,210
SimpleRNN,Late (15-21),6.280285728166973,-6.280285728166973,12.380952380952381,210
