n_train_eggs,model,MAE_minus_SVR,CI_low,CI_high,ratio_to_SVR
6,ANN,0.8906014200055822,0.2799734513248429,1.869615339264277,1.2717727605098663
6,CNN1D,1.8921329395419455,1.6197744168178385,2.157125921810429,1.5773965554958793
6,CNN1D_FLAT,0.8342327899636629,0.34795586979093407,1.5161434619091785,1.254571509929606
6,LSTM,1.9157048530005316,1.5418780194022148,2.2636613844876354,1.5845896767364664
12,ANN,0.3709573835651187,0.1499873357137935,0.6200206587883648,1.1465038701155206
12,CNN1D,2.062736949366836,1.726762184108844,2.394673619752448,1.8146459930470014
12,CNN1D_FLAT,0.5640059349031996,0.29162829165865284,0.890010943708691,1.2227454038987637
12,LSTM,2.3777044563587557,2.0142513702976843,2.678830670066524,1.9390375290544064
18,ANN,0.1360669344349755,-0.01698867953392687,0.27186884135734407,1.0565868498475934
18,CNN1D,2.1674185948359854,1.884693808715719,2.4393741039499037,1.9013754230016668
18,CNN1D_FLAT,0.3518274280986119,0.1075308782595333,0.6619685125698958,1.1463162665400926
18,LSTM,2.423238707820834,2.1562401378132834,2.684451778607605,2.0077646378508183
24,ANN,0.17755208282121457,-0.012293855720411863,0.36955804266209763,1.0809736022228116
24,CNN1D,2.293701020787881,1.8808751485488742,2.6815861266237633,2.0460549441278753
24,CNN1D_FLAT,0.5321521030909114,0.2234230983744124,0.8678695192478153,1.2426908884031815
24,LSTM,2.571827411106063,2.3064931935737465,2.83921388098744,2.172896011489321
