model,n_train_eggs,MAE_days,MAE_CI_low,MAE_CI_high,SD_across_repetitions,n_repetitions,R2
PLSR,6,3.11390873818476,2.7556985981200097,3.5532088569725997,0.5309417869977592,3,0.7000121546233955
PLSR,12,2.458191298980205,2.2661375962809527,2.665353637413071,0.012193589570257311,3,0.7821280779496202
PLSR,18,2.3354471707321554,2.1378150814773402,2.5795910856802204,0.11741704408954026,3,0.7939501621220815
PLSR,24,2.267263937038256,2.0836405949047996,2.4901098520343186,,1,0.7962646360304586
SVR,6,3.2770076674893667,2.9511044496536916,3.653923464367717,0.30422096065626764,3,0.6892779038285894
SVR,12,2.532065421020032,2.2953892678944916,2.8604495525549036,0.1470909816409187,3,0.7788072891735898
SVR,18,2.4045681072801757,2.211892308087698,2.6133383972259896,0.1917362168246779,3,0.8018462918501869
SVR,24,2.192715625181815,2.0242993557986595,2.370607999741085,,1,0.8168013462475496
ANN,6,4.16760908749495,3.405345604155303,5.386944807134975,0.3363457108768864,3,0.31393635549292753
ANN,12,2.9030228045851514,2.5560215596076397,3.415269021080523,0.2588631009851434,3,0.690782897423614
ANN,18,2.540635041715151,2.326439274366414,2.779566618713257,0.21999524002466644,3,0.7677349365061672
ANN,24,2.370267708003031,2.154887356619773,2.6395731173962123,,1,0.7620106789068296
CNN1D,6,5.169140607031313,4.834802271693838,5.54690278329947,0.17711182609441833,3,0.2514351055849978
CNN1D,12,4.594802370386869,4.265232960888637,4.919796226299873,0.11225217074962243,3,0.27999362428706576
CNN1D,18,4.5719867021161615,4.279060493503788,4.8768034404241165,0.16589659592582412,3,0.28134896774415863
CNN1D,24,4.4864166459696975,4.090300314305303,4.88139557514962,,1,0.2680609090718241
CNN1D_FLAT,6,4.111240457453031,3.4061619591585863,5.069322251185568,0.46374512780500715,3,0.40930536173626497
CNN1D_FLAT,12,3.096071355923232,2.681889055088131,3.699765270141136,0.0873239049611716,3,0.6641676763687194
CNN1D_FLAT,18,2.756395535378788,2.4558266691529043,3.192165286208713,0.06826046968599044,3,0.7196564751311312
CNN1D_FLAT,24,2.724867728272727,2.424291266129546,3.0951028441193174,,1,0.6941134344983839
LSTM,6,5.192712520489898,5.028793904683712,5.362863921774118,0.07029177598697518,3,0.17822165108229393
LSTM,12,4.909769877378788,4.731178756854798,5.087389742160985,0.13578035619526235,3,0.22571412688375103
LSTM,18,4.82780681510101,4.6484805999141425,5.015639064515152,0.06414317797056839,3,0.22596124742409995
LSTM,24,4.764543036287879,4.587126633439393,4.951623878464016,,1,0.21325479869990704
